,lon,lat,h
47,112.7107113924547,16.66987009711385,14.183945371020567
48,112.71070683557872,16.66991468005496,14.324194616300568
49,112.7106983551228,16.669997444388326,14.541935145900567
50,112.71069833416207,16.66999744742537,14.480676323340568
51,112.71069691065998,16.67001019377969,14.167784509900567
52,112.71068908236045,16.67008654910894,14.377126135260568
53,112.7106840977979,16.67013740482637,15.205143532300568
54,112.7106832491934,16.67014379343878,14.649570299660569
55,112.71068047258726,16.67016925732936,14.23328268702057
56,112.71067976422935,16.670175624864406,14.087714110860567
57,112.71067280925104,16.670239273944215,13.008759591660567
58,112.71065354195903,16.670423680173638,12.519581781660566
59,112.71064793900034,16.670480846525322,13.465247980300568
60,112.71064536782904,16.67050626710108,13.648653019660568
61,112.71064273783048,16.67053169592297,13.659428915980566
62,112.71064184787257,16.670538086843884,12.98264698742057
63,112.71064138712693,16.67054441650342,13.560507410940568
64,112.71064162956856,16.67054438162133,14.26913372414057
65,112.71063380224388,16.670614401821595,12.556546357900569
66,112.71063332536582,16.670620734313918,13.086730451100568
67,112.7106300852005,16.670652519546035,13.235169765420567
68,112.71062876168624,16.67066523812854,13.213979705180567
69,112.71062619501852,16.670690663040393,13.405351061580568
70,112.71062155050528,16.67073518747267,13.293045457740567
71,112.71062033151028,16.670747893998374,13.576118587980567
72,112.71060582765595,16.6708878656597,13.476845046460568
73,112.71060384687851,16.67090696017408,13.452823031740568
74,112.7105993456366,16.67095149872233,13.812080734620567
75,112.71059930390793,16.6709515047706,13.690125452860567
76,112.71059876344376,16.6709578546981,14.025563263660569
77,112.71059794695394,16.670964244855003,13.554251305020568
78,112.71059764174122,16.670970561148497,14.577145506460568
79,112.71059534030346,16.670989712175743,13.595483577740566
80,112.71059531466312,16.670989715892162,13.520547541260566
81,112.71059452548438,16.6709961029755,13.128789114540567
82,112.7105947488115,16.670996070858365,13.781552757580569
83,112.71059470116847,16.670996077763963,13.642312633820568
84,112.71059471423996,16.670996075869322,13.680514558620569
85,112.71058946073886,16.671047028559094,13.643404543580568
86,112.7105894663828,16.671047027741015,13.659898795180567
87,112.71058904487012,16.671053364909167,14.342791390860569
88,112.71058549703808,16.671085257646688,13.546026927340566
89,112.7105796573093,16.671142601296477,13.708066634060568
90,112.71057424241182,16.671193625092503,13.198033645980567
91,112.71057195687092,16.671219083936048,14.176943425100568
92,112.7105710455232,16.671225498206258,13.428049583220567
93,112.71057099116126,16.67122550608616,13.269172611020569
94,112.71057039056336,16.671231875621224,13.428499697660566
95,112.71057035376452,16.671231880955318,13.320953298860568
96,112.71057028874132,16.671231890127704,13.130844649580567
97,112.710565508104,16.67127657035331,12.562984448780568
98,112.71056575408532,16.67127653495026,13.281954816940566
99,112.71056526117218,16.671282891235034,13.756320244540568
100,112.71056447383089,16.671289290732012,13.370321194300567
101,112.71056002271033,16.671333939407845,13.767780076140568
102,112.71055785912225,16.67135311732406,13.191307660860566
103,112.71055519303368,16.671378660059123,13.062683450740568
104,112.71055159607698,16.671416925719743,14.047657281980566
105,112.71055124158624,16.671416976599783,13.011488620220568
106,112.71054804158828,16.671448903374884,13.243047327500566
107,112.71054404337112,16.67148724796855,13.061527771660568
108,112.71054399214034,16.671487255394847,12.91180188334057
109,112.71053899646589,16.671538350393988,13.655794437660568
110,112.7105388178612,16.671538376031307,13.133737017100568
111,112.71053788261852,16.671544807348038,12.318378016540567
112,112.71053617589,16.67156395007663,13.086829647820569
